Designator,Value,Footpring,Mid X,Mid Y,Rotation,Layer
C101,1n,C_0603_1608Metric,58.225,-51.25,0,top
C102,1n,C_0603_1608Metric,234.775,-51.25,180,top
C103,1n,C_0603_1608Metric,234.775,-140.75,180,top
C104,1n,C_0603_1608Metric,58.225,-140.75,0,top
C105,10n,C_0603_1608Metric,191.25,-87.25,90,top
C106,100n,C_0603_1608Metric,193,-87.25,90,top
C107,100n,C_0603_1608Metric,178.75,-110.25,-90,top
C108,10n,C_0603_1608Metric,177,-110.25,-90,top
C202,10u,C_0603_1608Metric,84.25,-105.75,0,top
C203,10u,C_0603_1608Metric,84.25,-107.5,0,top
C204,10n,C_0603_1608Metric,84.25,-109.25,0,top
C205,1n,C_0603_1608Metric,84.25,-111,0,top
C206,10n,C_0603_1608Metric,78.5,-113.5,-90,top
C207,6p8,C_0603_1608Metric,82.5,-120.75,0,top
C208,5n6,C_0603_1608Metric,82.5,-122.75,0,top
C209,100n,C_0603_1608Metric,86.5,-118,-90,top
C210,10u,C_0603_1608Metric,92,-123.75,90,top
C211,10u,C_0603_1608Metric,93.75,-123.75,90,top
C212,100n,C_0603_1608Metric,100.5,-123.75,90,top
C213,22u,CP_EIA-3528-15_AVX-H,104,-123.5,180,top
C214,22u,CP_EIA-3528-15_AVX-H,97.5,-117,-90,top
C301,10p,C_0603_1608Metric,142.75,-101.25,-90,top
C302,100n,C_0603_1608Metric,123.75,-114.5,-90,top
C303,10p,C_0603_1608Metric,145.25,-97.25,0,top
C304,10u,C_0603_1608Metric,138.75,-104.75,0,top
C305,100n,C_0603_1608Metric,135.5,-104.75,180,top
C306,100n,C_0603_1608Metric,130.5,-92.25,0,top
C307,100n,C_0603_1608Metric,139.25,-96.75,-90,top
C308,100n,C_0603_1608Metric,138.75,-103,0,top
D101,Status,LED_0805_2012Metric,224,-85.825,180,top
D201,D_TVS,D_SMA,64,-100.75,0,top
D202,5V6,D_MiniMELF,80.925,-99,-90,top
D203,SS34,D_SMA,89.25,-115.75,90,top
D204,Power,LED_0805_2012Metric,224,-81,180,top
D501,SS34,D_SMA,85,-58.5,0,top
D601,SS34,D_SMA,116.75,-58.5,0,top
D701,SS34,D_SMA,148.5,-58.5,0,top
D801,SS34,D_SMA,180.25,-58.5,0,top
D901,SS34,D_SMA,212,-58.5,0,top
F201,BSMD0805-035,Fuse_0805_2012Metric,97,-112.5,-90,top
L201,22u,L_Taiyo-Yuden_NR-50xx,88.25,-122.5,-90,top
L202,100R,R_0805_2012Metric,103.25,-126.5,0,top
Q201,AOD409,TO-252-3_TabPin2,73.85,-99,180,top
Q501,AO3400A,SOT-23,90.75,-58.5,180,top
Q601,AO3400A,SOT-23,122.5,-58.5,180,top
Q701,AO3400A,SOT-23,154.25,-58.5,180,top
Q801,AO3400A,SOT-23,186,-58.5,180,top
Q901,AO3400A,SOT-23,217.75,-58.5,180,top
R101,330R,R_0603_1608Metric,226.75,-86.575,-90,top
R102,150R,R_0603_1608Metric,142.75,-128.25,90,top
R103,150R,R_0603_1608Metric,139,-128.25,90,top
R104,150R,R_0603_1608Metric,135.25,-128.25,90,top
R105,150R,R_0603_1608Metric,131.5,-128.25,90,top
R106,10k,R_0603_1608Metric,141,-128.25,90,top
R107,10k,R_0603_1608Metric,137.25,-128.25,90,top
R108,10k,R_0603_1608Metric,133.5,-128.25,90,top
R109,10k,R_0603_1608Metric,129.75,-128.25,90,top
R201,10k,R_0603_1608Metric,77.925,-103.5,180,top
R202,10k,R_0603_1608Metric,75,-113.5,-90,top
R203,100k,R_0603_1608Metric,81.75,-110.25,-90,top
R204,10k,R_0603_1608Metric,80,-110.25,90,top
R205,10k,R_0603_1608Metric,76.75,-113.5,-90,top
R206,6k81,R_0603_1608Metric,80,-121.75,-90,top
R207,10k,R_0603_1608Metric,76.75,-121.75,90,top
R208,150R,R_0603_1608Metric,75.75,-119.25,180,top
R209,1k8,R_0603_1608Metric,74.75,-121.75,-90,top
R210,330R,R_0603_1608Metric,226.75,-81.75,90,top
R301,10k,R_0603_1608Metric,125.5,-114.5,90,top
R303,47R,R_0603_1608Metric,142.75,-98,90,top
R304,150R,R_0603_1608Metric,122,-114.5,90,top
R305,150R,R_0603_1608Metric,120.25,-114.5,90,top
R306,150R,R_0603_1608Metric,118.5,-114.5,90,top
R401,330R,R_0603_1608Metric,200.25,-122.75,0,top
R402,330R,R_0603_1608Metric,195.75,-122.75,0,top
R403,330R,R_0603_1608Metric,191.25,-122.75,0,top
R404,330R,R_0603_1608Metric,186.75,-122.75,0,top
R405,330R,R_0603_1608Metric,182.25,-122.75,0,top
R406,150R,R_0603_1608Metric,156.25,-128.25,90,top
R407,150R,R_0603_1608Metric,160,-128.25,90,top
R408,150R,R_0603_1608Metric,163.75,-128.25,90,top
R409,150R,R_0603_1608Metric,167.5,-128.25,90,top
R410,150R,R_0603_1608Metric,171.25,-128.25,90,top
R411,150R,R_0603_1608Metric,175,-128.25,90,top
R412,10k,R_0603_1608Metric,176.75,-128.25,90,top
R413,10k,R_0603_1608Metric,173,-128.25,90,top
R414,10k,R_0603_1608Metric,169.25,-128.25,90,top
R415,10k,R_0603_1608Metric,165.5,-128.25,90,top
R416,10k,R_0603_1608Metric,161.75,-128.25,90,top
R417,10k,R_0603_1608Metric,158,-128.25,90,top
R501,10k,R_0603_1608Metric,70.25,-63.75,90,top
R502,10k,R_0603_1608Metric,74,-63.75,90,top
