Ref,Val,Package,PosX,PosY,Rot,Side
"C101","1n","C_0603_1608Metric",58.225000,-51.250000,0.000000,top
"C102","1n","C_0603_1608Metric",234.775000,-51.250000,180.000000,top
"C103","1n","C_0603_1608Metric",234.775000,-140.750000,180.000000,top
"C104","1n","C_0603_1608Metric",58.225000,-140.750000,0.000000,top
"C105","10n","C_0603_1608Metric",191.250000,-87.250000,90.000000,top
"C106","100n","C_0603_1608Metric",193.000000,-87.250000,90.000000,top
"C107","100n","C_0603_1608Metric",177.000000,-110.250000,-90.000000,top
"C108","10n","C_0603_1608Metric",178.750000,-110.250000,-90.000000,top
"C202","100n","C_0603_1608Metric",100.500000,-123.750000,90.000000,top
"C203","22u","CP_EIA-3528-15_AVX-H",104.000000,-123.500000,180.000000,top
"C204","22u","CP_EIA-3528-15_AVX-H",97.500000,-117.000000,-90.000000,top
"C205","10u","C_0603_1608Metric",84.250000,-105.750000,0.000000,top
"C206","10u","C_0603_1608Metric",84.250000,-107.500000,0.000000,top
"C207","10n","C_0603_1608Metric",84.250000,-109.250000,0.000000,top
"C208","1n","C_0603_1608Metric",84.250000,-111.000000,0.000000,top
"C209","10n","C_0603_1608Metric",78.500000,-113.500000,-90.000000,top
"C210","6p8","C_0603_1608Metric",82.500000,-120.750000,0.000000,top
"C211","2n7","C_0603_1608Metric",82.500000,-122.750000,0.000000,top
"C212","2n7","C_0603_1608Metric",82.500000,-124.750000,0.000000,top
"C213","100n","C_0603_1608Metric",86.500000,-118.000000,-90.000000,top
"C214","10u","C_0603_1608Metric",92.000000,-123.750000,90.000000,top
"C215","10u","C_0603_1608Metric",93.750000,-123.750000,90.000000,top
"C301","10p","C_0603_1608Metric",142.750000,-101.250000,-90.000000,top
"C302","100n","C_0603_1608Metric",123.750000,-114.500000,-90.000000,top
"C303","10p","C_0603_1608Metric",145.250000,-97.250000,0.000000,top
"C304","10u","C_0603_1608Metric",138.750000,-104.750000,0.000000,top
"C305","100n","C_0603_1608Metric",135.500000,-104.750000,180.000000,top
